"_id","state","created","modified","data.contractingOfficeAgencyId","data.contractingOfficeAgencyName","data.fundingAgencyId","data.fundingAgencyName","data.naics.NAICS_Code","data.naics.NAICS_Title","data.psc.pscId","data.psc.pscCode","data.psc.pscName","data.procurementStage","data.procurementTitle","data.summaryOfProcurement","data.sourcesSoughtOrRfiIssued","data.piids","data.isPricePreferenceIncluded","data.waiverCoverage","data.waiverRationaleSummary","data.expectedMaximumDurationOfTheRequestedWaiver","data.requestStatus","data.ombDetermination","data.solicitationId","data.countriesOfOriginAndUSContent"
"618e9b85f6a478f23f267e9b","submitted","2021-11-12T16:51:17.529Z","2021-11-13T14:21:35.713Z","1605","OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION AND MANAGEMENT","1625","BUREAU OF LABOR STATISTICS",334118,"Computer Terminal and Other Computer Peripheral Equipment Manufacturing",891,"7520","OFFICE DEVICES AND ACCESSORIES","Pre-solicitation","Brand Name Kensington BlackBelt Rugged Cases for Surface Pro with a common access card (CAC) Reader","The Bureau of Labor Statistics (BLS) Division of Technology and Network Management (DTNM) needs to procure Kensington BlackBelt Rugged Cases for Surface Pro with a CAC Reader to replace cases for tablets that are used in the field.","No","[{""piid"":""""}]","Yes","Individual Waiver","Extensive market research has been conducted by reviewing available products within the General Services Administration (GSA), Multiple Award Schedule (MAS), National Aeronautics and Space Administration (NASA) Scientific and Engineering Workstation Procurement (SEWP), and Government-wide Acquisition Contract (GWAC). There are only two Microsoft Surface Pro cases on the market that can meet the Consumer Price Index (CPI) Office of Field Operations (OFO) requirements: the Kensington BlackBelt Rugged Case and the Griffin Survivor Security Case. Per GSA Advantage, neither of these cases are manufactured within the United States as both cases originate in Taiwan.",,"Reviewed","Consistent with Policy",,"[]"
"618c3974c71178cacb443e2f","submitted","2021-11-10T21:28:20.713Z","2021-11-13T13:55:18.079Z","1605","OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION AND MANAGEMENT","1650","OCCUPATIONAL SAFETY AND HEALTH ADMINISTRATION",334519,"Other Measuring and Controlling Device Manufacturing",551,"5220","INSPECTION GAGES AND PRECISION LAYOUT TOOLS","Pre-solicitation","Pylon AB7 Monitor","The OSHA SLTC Health Response Team (HRT) uses portable radiation monitors to support Compliance Safety and Health Officer (CSHO) inspections of worker exposures to airborne radon hazards in a variety of industries. OSHA SLTC requires one Pylon AB7 Portable Radiation Monitor system to replace its current radiation monitor (Pylon AB5) which has been in service for more than 20 years.","No","[{""piid"":""""}]","Yes","Individual Waiver","The Pylon AB7 is the only portable radiation monitor that meets OSHA’s requirement for evaluating airborne radon concentration in real-time. The Pylon AB7 is not produced in the U.S., and a formal market analysis revealed there is no comparable product produced in the U.S.",,"Reviewed","Consistent with Policy",,"[]"
"618c37bd5d13ab17486984cd","submitted","2021-11-10T21:21:01.518Z","2021-11-13T13:57:42.219Z","1605","OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION AND MANAGEMENT","1650","OCCUPATIONAL SAFETY AND HEALTH ADMINISTRATION",334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables ",782,"6630","CHEMICAL ANALYSIS INSTRUMENTS","Pre-solicitation","Procurement of Fourier Transformation Infrared (FTIR) Spectroscopy Analyzer","This procurement is for Fourier Transformation Infrared (FTIR) Spectroscopy, in support of Occupational Safety and Health Administration (OSHA), used for inspections in response to identifying unknown chemical hazards.","No","[{""piid"":""""}]","Yes","Individual Waiver","The FTIR is a unique piece of equipment.  While there are other types of this instrument produced, they cannot perform the same function across multiple analyses or in variable atmospheric conditions meaning they are unable to detect a wide variety of gases and vapors simultaneously.",,"Reviewed","Consistent with Policy",,"[]"
"618c3a2ac71178cacb443e42","submitted","2021-11-10T21:31:22.214Z","2021-11-13T14:17:09.257Z","1605","OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION AND MANAGEMENT","1650","OCCUPATIONAL SAFETY AND HEALTH ADMINISTRATION",334519,"Other Measuring and Controlling Device Manufacturing",786,"6636","ENVIRONMENTAL CHAMBERS AND RELATED EQUIPMENT","Pre-solicitation","Powered Air Purifying Respirator (PAPR) and HEPA filter.","This is a request to purchase Powered Air Purifying Respirator (PAPR) and HEPA filter.","No","[{""piid"":""""}]","Yes","Individual Waiver","Powered Air Purifying Respirator (PAPR) and HEPA filter were found that meet CTC's requirements, but there were no products manufactured domestically. The proposed models are manufactured by 3M, a U.S. based company, however, their products are manufactured in Poland and Canada, respectively. ",,"Reviewed","Consistent with Policy",,"[]"
"618c431c3364ec841c6520af","submitted","2021-11-10T22:09:32.679Z","2021-11-13T14:18:26.053Z","1605","OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION AND MANAGEMENT","1650","OCCUPATIONAL SAFETY AND HEALTH ADMINISTRATION",333997,"Scale and Balance Manufacturing",796,"6670","SCALES AND BALANCES","Pre-solicitation","Procurement of Laboratory Information Management System (LIMS) Integrated Analytical Balance","This is a request to purchase one LIMS Integrated Analytical Balance, to include installation, calibration, and a service plan.","No","[{""piid"":""""}]","Yes","Individual Waiver","Multiple analytical balances were found that meet SLTC’s requirements, but there were no products manufactured domestically. The two  models found are sold by U.S. based companies; Mettler-Toledo, LLC and Sartorius Corporation, however, their products are manufactured in Switzerland and Germany, respectively. ",,"Reviewed","Consistent with Policy",,"[]"
"618e997ff6a478f23f267e89","submitted","2021-11-12T16:42:39.205Z","2021-11-13T14:19:53.869Z","1605","OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION AND MANAGEMENT","1650","OCCUPATIONAL SAFETY AND HEALTH ADMINISTRATION",334519,"Other Measuring and Controlling Device Manufacturing",787,"6640","LABORATORY EQUIPMENT AND SUPPLIES","Pre-solicitation","Procurement of Fluke Laser Distance Meters","The OSHA Cincinnati Technical Center (CTC) has identified a requirement for (52) Fluke 424D laser distance meters for OSHA field office enforcement inspections.","No","[{""piid"":""""}]","Yes","Individual Waiver","Multiple distance meters are available however, none of these meet the CTC requirements. OSHA has equipment of this make and model throughout the agency. The agency possess institutional knowledge, training and experience to service the equipment on the agency's behalf, without incurring additional costs.    ",,"Reviewed","Consistent with Policy",,"[]"
"61951f9acda9e25574f11458","submitted","2021-11-17T15:28:26.862Z","2021-11-17T15:38:56.816Z","7013","TRANSPORTATION SECURITY ADMINISTRATION","7013","TRANSPORTATION SECURITY ADMINISTRATION",424320,"Men's and Boys' Clothing and Furnishings Merchant Wholesalers",963,"8405","OUTERWEAR, MEN'S","Post-solicitation","Tactical Pants for TSA Federal Air Marshals","Delivery order for uniform items, I.e. tactical pants for TSA Federal Air Marshals","No","[{""piid"":""""}]","Yes","Multi-procurement Waiver","N/A",,"Reviewed","Consistent with Policy","","[]"
"619540ccf56f2c4cbc6c7c13","submitted","2021-11-17T17:50:04.738Z","2021-11-17T18:48:07.711Z","97AS","DEFENSE LOGISTICS AGENCY (DLA)","97AS","DEFENSE LOGISTICS AGENCY (DLA)",325220,"Artificial and Synthetic Fibers and Filaments Manufacturing",1038,"9420","FIBERS:  VEGETABLE, ANIMAL, AND SYNTHETIC","Pre-solicitation","Rayon","ENKA 300/60 AS Select rayon","Yes","[{""piid"":""""}]","No","Individual Waiver","N/A",,"Reviewed","Consistent with Policy",,"[]"
"61954565f56f2c4cbc6c7c40","submitted","2021-11-17T18:09:41.734Z","2021-11-17T18:51:07.812Z","97AS","DEFENSE LOGISTICS AGENCY (DLA)","97AS","DEFENSE LOGISTICS AGENCY (DLA)",333415,"Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing",674,"5985","ANTENNAS, WAVEGUIDES, AND RELATED EQUIPMENT","Post-solicitation","IDC under SAT, repair part","This item is code and Part Number (PN) with only 2 approved/technically acceptable sources (cage 4H538 and 06090). All offers quoted CAGE 06090 which imports materials from Mexico.","No","[{""piid"":""SPE7M5-21-D-62MQ""}]","Yes","Individual Waiver","All offers responding to this competitive solicitation quoted a PN that is considered a part out of Mexico. There are no other alternatives.",,"Reviewed","Consistent with Policy","SPE7M5-21-U-0380","[]"
"6195475af56f2c4cbc6c7c52","submitted","2021-11-17T18:18:02.772Z","2021-11-17T18:53:08.485Z","97AS","DEFENSE LOGISTICS AGENCY (DLA)","97AS","DEFENSE LOGISTICS AGENCY (DLA)",336412,"Aircraft Engine and Engine Parts Manufacturing",271,"2840","GAS TURBINES AND JET ENGINES, AIRCRAFT, PRIME MOVING; AND COMPONENTS","Post-solicitation","T700 Turboshaft Engine","Performance-based logistics contract supporting GE T700 Engine consumables for US Army Depot (CCAD) and World-wide/FMS customers.","Yes","[{""piid"":""SPE4AX21D9416""}]","No","Individual Waiver","Mission failure due to inability to procure T700 Engine parts.",,"Reviewed","Consistent with Policy","SPE4AX21R0001","[]"
